campus_id,campus_name,company_clean,record_level,address,postal_code,city,market,state,state_abbr,county,country,region,latitude,longitude,planned_power_mw,uc_power_mw,commissioned_power_mw,full_capacity_mw,planned_plus_uc_mw,mw_2023,mw_2024,mw_2025,mw_2026,mw_2027,mw_2028,mw_2029,mw_2030,mw_2031,mw_2032,pue_avg,facility_sqft_sum,whitespace_sqft_sum,building_count,facility_status_agg,cancelled,first_live_date,full_buildout_date,additional_references,notes,ingest_date,sample_longitude,sample_latitude
meta|piqua|metapiqua,Meta Piqua,Meta,Campus,Washington Road,45356,Piqua,Dayton,OHIO,,,United States,,40.11305425,-84.25374772,156.0,0.0,0.0,156.0,156.0,,,,,,,,,,,,715000.0,,1,Announced,0,,,,,2025-11-14 14:16:08,-84.25374771999998,40.11305425000006
meta|portan|metaportan,Meta Portan,Meta,Campus,County Meath,D15 VCK4,Portan,Dublin,,,,Ireland,,53.418319,-6.431761,0.0,0.0,154.8,154.8,0.0,,,,,,,,,,,,1615597.0,,5,Active,0,2017-12-31 00:00:00,,,,2025-11-14 14:16:08,-6.431760999999938,53.418319000000054
meta|prineville|meta-prineville,Meta Prineville,Meta,Campus,735 SW Connect Way,97754,Prineville,Prineville,Oregon,,,USA,,44.295856,-120.88723,,,,,0.0,,,,,,,,,,,,,,22,Active,0,,,,,2025-11-14 14:16:08,-120.88722999999999,44.29585600000007
meta|prineville|metaprineville,Meta Prineville,Meta,Campus,SW George Millican Road,97754,Prineville,Prineville,OREGON,,,United States,,44.27127718,-120.8963361,152.0,0.0,287.6,439.6,152.0,,,,,,,,,,,,4191000.0,,12,Active,0,2012-12-31 00:00:00,,,,2025-11-14 14:16:08,-120.89633609999998,44.27127718000003
meta|rayville|meta-richland-parish,Meta Richland Parish,Meta,Campus,LA-183 & Thomas Rd,71269,Rayville,Shreveport,Louisiana,,,USA,,32.496298,-91.622756,4460.0,,,,4460.0,,,,,,,,,,,,,,2,Unknown,0,,,,,2025-11-14 14:16:08,-91.62275599999998,32.496298000000024
meta|rayville|metarayville,Meta Rayville,Meta,Campus,Highway 183,71269,Rayville,"Monroe, LA",LOUISIANA,,,United States,,32.50156092,-91.63575803,2064.0,0.0,0.0,2064.0,2064.0,,,,,,,,,,,,4115000.0,,9,Announced,0,,,,,2025-11-14 14:16:08,-91.63575802999998,32.50156092000003
meta|rosemount|meta-rosemount,Meta Rosemount,Meta,Campus,"SECRET, within east of Dakota County Technical College",55068,Rosemount,Minneapolis,Minnesota,,,USA,,,,,,,,0.0,,,,,,,,,,,,,,2,Under Construction,0,,,,,2025-11-14 14:16:08,,
meta|rosemount|metarosemount,Meta Rosemount,Meta,Campus,Blaine Avenue E,55068,Rosemount,Minneapolis,MINNESOTA,,,United States,,44.73543857,-93.06096584,152.0,152.0,0.0,304.0,304.0,,,,,,,,,,,,1465000.0,,3,Under Construction,0,,,,,2025-11-14 14:16:08,-93.06096583999994,44.73543857000004
meta|sandston|meta-henrico,Meta Henrico,Meta,Campus,6200 Technology Blvd,23150,Sandston,Richmond,Virginia,,,USA,,37.485178,-77.233543,,,,,0.0,,,,,,,,,,,,,,2,Active,0,,,,,2025-11-14 14:16:08,-77.23354299999994,37.485178000000076
meta|sandston|meta-sandston,Meta Sandston,Meta,Campus,3951 Portugee Rd,23150,Sandston,Richmond,Virginia,,,USA,,37.474625,-77.235393,,,,,0.0,,,,,,,,,,,,,,2,Unknown,0,,,,,2025-11-14 14:16:08,-77.23539299999999,37.47462500000006
meta|sandston|metasandston,Meta Sandston,Meta,Campus,3951 Portugee Road,23150,Sandston,Richmond,VIRGINIA,,,United States,,37.47315522,-77.22650602,152.0,0.0,150.0,302.0,152.0,,,,,,,,,,,,2390000.0,,7,Active,0,2021-12-31 00:00:00,,,,2025-11-14 14:16:08,-77.22650601999999,37.473155220000024
meta|singapore|meta-singapore,Meta Singapore,Meta,Campus,Tanjong Kling Rd,628051,Singapore,Singapore,,,,Singapore,,1.309188,103.698054,,,,,0.0,,,,,,,,,,,,,,2,Active,0,,,,,2025-11-14 14:16:08,103.69805400000007,1.3091880000000629
meta|singapore|metasingapore,Meta Singapore,Meta,Campus,30 Sunview Drive,,Singapore,Singapore,,,,Singapore,,1.3173135,103.7029792,0.0,0.0,91.0,91.0,0.0,,,,,,,,,,,,1820000.0,,1,Active,0,2023-12-31 00:00:00,,,,2025-11-14 14:16:08,103.70297920000007,1.3173135000000684
meta|social-circle|meta-stanton-springs,Meta Stanton Springs,Meta,Campus,100 Move Fast Way,30025,Social Circle,Atlanta,Georgia,,,USA,,33.656228,-83.718231,,,,,0.0,,,,,,,,,,,,,,2,Active,0,,,,,2025-11-14 14:16:08,-83.71823099999995,33.656228000000056
meta|socialcircle|metasocialcircle,Meta Social Circle,Meta,Campus,Shire Parkway,30025,Social Circle,Atlanta,GEORGIA,,,United States,,33.598955,-83.676199,60.0,0.0,240.0,300.0,60.0,,,,,,,,,,,,3500000.0,,10,Active,0,2020-12-31 00:00:00,,,,2025-11-14 14:16:08,-83.67619899999994,33.598955000000046
meta|south-greeley|meta-cheyenne,Meta Cheyenne,Meta,Campus,"SECRET, within High Plains Business Park",82007,South Greeley,Cheyenne,Wyoming,,,USA,,,,,,,,0.0,,,,,,,,,,,,,,2,Under Construction,0,,,,,2025-11-14 14:16:08,,
meta|springfield|metaspringfield,Meta Springfield,Meta,Campus,Friend Plaza,68059,Springfield,Omaha,NEBRASKA,,,United States,,41.10612703,-96.14407185,0.0,76.0,243.8,319.8,76.0,,,,,,,,,,,,3228000.0,,10,Active,0,2018-12-31 00:00:00,,,,2025-11-14 14:16:08,-96.14407184999999,41.10612703000004
